date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:24	27672/27672	---M--	200	added ('OK')	application/x-font-woff	etag:%226c18-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/fonts/whitney-medium-progkcy-webfont.woff	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/fonts/whitney-medium-progkcy-webfont.woff	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:25	95732/95732	---M--	200	added ('OK')	image/svg+xml	etag:%22175f4-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/fonts/whitney-medium-progkcy-webfont.svg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/fonts/whitney-medium-progkcy-webfont.svg	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:27	1475/1475	---M--	200	added ('OK')	image/png	etag:%225c3-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/buttons-highlight.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/buttons-highlight.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:27	858/858	---M--	200	added ('OK')	image/png	etag:%2235a-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/customer-login-button-highlight.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/customer-login-button-highlight.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:27	24645/24645	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226045-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/fonts/whitney-medium-progkcy-webfont.eot?	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/fonts/whitney-medium-progkcy-webfontd41d.eot	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:29	6345/6345	---M--	200	added ('OK')	image/png	etag:%2218c9-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/timeline-dropshadow.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/timeline-dropshadow.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:40	65348/65348	---M--	200	added ('OK')	image/jpeg	etag:%22ff44-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/cardStart/cardStart-btns.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/cardStart/cardStart-btns.jpg	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:43	254272/254272	---M--	200	added ('OK')	image/jpeg	etag:%223e140-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/images/background-gradient-slice.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/background-gradient-slice.jpg	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:43	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:04:44%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmux5wdg5p9a&rn=1537938192000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascript4d22.gif	(from http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share)
10:34:45	21870/21870	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:04:45%20GMT	http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share&language=en	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/index15bf.html	(from http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share)
10:34:46	22209/22209	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:04:46%20GMT	http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share&language=es	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/index25be.html	(from http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share)
10:34:46	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:04:47%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmux6q1pj1a5&rn=1537938193000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascript60a1.gif	(from http://demo.rtcvid.net/securityfirst/new/?language=en)
10:34:56	180782/180782	---M--	200	added ('OK')	image/jpeg	etag:%222c22e-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/background-texture-slice.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/background-texture-slice.jpg	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:56	179822/179822	---M--	200	added ('OK')	image/jpeg	etag:%222be6e-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/footer-background.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/footer-background.jpg	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
